case_id,split,graph_family,graph_seed,n_nodes,perturbation,severity,affected_nodes,recovery_time,final_residual_error,post_recovery_similarity,recovered_label,recovery_quality,affected_betweenness,affected_closeness,affected_degree,affected_eigenvector,affected_pagerank,algebraic_connectivity,domain_diffusion_early_probe,graph_density,graph_n_nodes,haos_causal_depth_proxy,haos_distance_surrogate_proxy,haos_invariant_overlap,haos_persistence_proxy,haos_recovery_score_proxy,haos_temporal_order_stability,shortest_path_to_perturbation
pb01_case_9637bf11442caa8c62e2bbbc,development,erdos_renyi,106,24,weight_degradation,0.280000,2 6 7 8 13 19,0,0.013330638325,0.998073721678,1,0.975762475773,0.295545055792,0.787306133629,0.588298130049,0.476158003081,0.652430331505,0.965547703988,0.986389741482,0.221014492754,24.000000000000,0.521739130435,0.961989513182,1.000000000000,0.896648590622,0.986389741482,1.000000000000,0.333333333333
pb01_case_75b06029ce1b966fcef1a4ce,development,erdos_renyi,106,24,localized_state_shock,0.160000,1 5 9 21,0,0.000011680561,0.999999998517,1,0.999978762616,0.306868802654,0.833339224697,0.623846915403,0.504407864222,0.685653094956,0.965547703988,0.985614919299,0.221014492754,24.000000000000,0.444444444444,0.950535950981,0.993629291619,1.000000000000,0.985614919299,1.000000000000,0.285714285714
pb01_case_e5d34eb3f750bd3517bf4a39,development,erdos_renyi,106,24,localized_state_shock,0.280000,0 8 9 10,0,0.000026496488,0.999999992430,1,0.999951824568,0.383112465519,0.778751533324,0.539184185834,0.377750382549,0.612817448827,0.965547703988,0.983748300663,0.221014492754,24.000000000000,0.452830188679,0.951843099570,0.984580991672,1.000000000000,0.983748300663,1.000000000000,0.266666666667
pb01_case_51c04236a15b8aa5d9182e83,development,ring_lattice,101,24,node_removal,0.160000,15,0,0.041275439988,0.980517710315,1,0.924953745477,0.094537180597,0.760000000000,0.754016592746,0.706227880969,0.790088136097,0.833556213240,0.960145107636,0.282608695652,24.000000000000,0.324324324324,0.919179842723,0.990384821450,0.000000000000,0.960145107636,1.000000000000,0.250000000000
pb01_case_0caec40e4420f42cc33682a5,development,ring_lattice,101,24,node_removal,0.280000,6,0,0.042143911734,0.979695586061,1,0.923374705938,0.105742705837,0.760000000000,0.764213891993,0.765304294884,0.795097139745,0.833556213240,0.959457956781,0.282608695652,24.000000000000,0.324324324324,0.922023640308,0.979653282417,0.000000000000,0.959457956781,1.000000000000,0.333333333333
pb01_case_9bb16172dddd12909a14a62a,development,ring_lattice,101,24,edge_removal,0.160000,1 2 3 4 5 6 8 9 10 11 12 15 16 17 19 20 21 22 23,0,0.025710794917,0.992291578397,1,0.953253100150,0.329624299357,0.835031070973,0.830215355355,0.806545711206,0.854317229258,0.833556213240,0.975107204455,0.282608695652,24.000000000000,0.827586206897,0.990571779081,1.000000000000,0.676139814606,0.975107204455,0.666666666667,0.372549019608
pb01_case_01042bd59bc0b8a4a05de535,development,ring_lattice,101,24,edge_removal,0.280000,1 2 3 4 5 6 7 8 9 10 11 12 14 16 18 19 21 22 23,0,0.053106556874,0.968517374171,1,0.903442623866,0.264516525593,0.818079764134,0.824507871282,0.804494284084,0.849093569640,0.833556213240,0.959736436733,0.282608695652,24.000000000000,0.827586206897,0.991885317314,1.000000000000,0.317935436422,0.959736436733,0.333333333333,0.372549019608
pb01_case_31c9772fb720f521b3c3491b,development,ring_lattice,101,24,weight_degradation,0.160000,3 9 14 15 16 17 18 19 20,0,0.007350129285,0.999358087763,1,0.986636128573,0.372699774256,0.849151006218,0.824244646715,0.768801613006,0.852193024017,0.833556213240,0.985216043539,0.282608695652,24.000000000000,0.615384615385,0.972783399997,1.000000000000,0.974251118442,0.985216043539,1.000000000000,0.300000000000
pb01_case_b2d1274bc2573e9496251392,development,ring_lattice,101,24,weight_degradation,0.280000,0 1 2 3 4 22 23,0,0.011880044129,0.998327113013,1,0.978399919765,0.323644219180,0.820207874090,0.840327845001,0.822816065866,0.862676128318,0.833556213240,0.984665676974,0.282608695652,24.000000000000,0.489795918367,0.959456745463,1.000000000000,0.987230617803,0.984665676974,1.000000000000,0.500000000000
pb01_case_7ee3f3940f3c3d4624cdced1,development,ring_lattice,101,24,localized_state_shock,0.160000,9 10 11 12,0,0.000469754784,0.999997377850,1,0.999145900393,0.425658941264,0.890016233766,0.907672776167,0.929335423200,0.916987500587,0.833556213240,0.985684638878,0.282608695652,24.000000000000,0.436363636364,0.950877818683,0.991719033046,1.000000000000,0.985684638878,1.000000000000,0.400000000000
