feature_id,haos_loss_score,max_abs_change,mean_abs_change,trajectory_total_variation
MIM1,0.7864395404138331,1.685,0.4299926759155106,3.326
YAP7,0.7168370793547062,3.1501072423398324,1.0403644271485564,6.359892757660167
OPI10,1.2336837194717725,1.8659999999999999,0.9431999999999998,3.804
MCH4,1.4053765821401631,2.3418927576601676,0.9947999999999999,8.663892757660168
HRP1,0.9534949644343947,1.985,0.8256,5.285
RSB1,0.7914416557586207,2.3,0.8437999999999999,2.44
ETT1,2.8473669438619824,3.466,2.2410000000000005,5.6080000000000005
PNO1,2.5252574116255033,3.592,1.7542000000000002,6.325
PUS7,2.508588896639643,3.723,1.7564,6.545
SRL1,1.078608146641487,1.363,0.7076,2.9050000000000002
TEA1,1.265729362330072,2.225,1.1722000000000001,2.285
UBC11,2.310113742387774,2.572,1.6968,3.794
RPA190,1.2453030411513324,2.126,1.002,3.284
NOP4,3.014360474483172,4.498,2.121,7.663000000000001
RPL33A,1.4642145468546477,2.0709999999999997,1.0866,3.3630000000000004
SUI3,1.7064393038844714,2.448,1.229,4.0680000000000005
YAR1,0.5924742853269206,1.618,0.5464,4.316
PUF2,1.3303967260118705,1.9529999999999998,1.1925999999999999,2.079
YPR044C,1.1861830833569749,2.054,0.9513999999999999,3.4539999999999997
TAH18,1.200779963119045,1.7309999999999999,0.7814,3.2889999999999997
YPR142C,1.729009241470549,2.51,1.3154,4.0040000000000004
NOC4,2.5055938582130843,3.694,1.7304,6.576
MAK16,3.0689265277985447,4.316,2.0782,7.607000000000001
RPG1,1.1687391154770201,1.5510000000000002,0.8550000000000001,2.6020000000000003
MIS1,1.7149981668325598,2.4379999999999997,1.241,4.430999999999999
POL30,1.5051683990566196,1.7679999999999998,0.9975999999999999,3.7939999999999996
SMY2,0.9432606599280446,1.2999999999999998,0.5757999999999999,2.855
PRM7,0.7573462994691985,1.333,0.6748000000000001,2.017
RRP8,1.4314863232985713,2.0060000000000002,1.0856000000000001,3.327
AFR1,1.0037519400362391,1.262,0.6926,5.146
RRP1,2.1028353019313415,2.875,1.5230000000000001,4.741
CSN9,1.230643913863011,2.21,0.7438,7.395999999999999
PHM6,1.9643790071765102,3.025,1.2402000000000002,6.087
RMT2,1.74577577981263,2.8609999999999998,1.3272,5.101999999999999
RPL27B,1.9728776661773813,3.011,1.3654000000000002,5.061
URA3,1.0422841327900982,1.477,0.7404000000000001,3.112
PHM8,1.188131356352033,1.738,0.8802,4.167
HVG1,0.4845205808905134,1.5330000000000001,0.44799999999999995,4.138
DSE1,0.8367515575844142,1.583,0.49959999999999993,3.6879999999999997
NSA2,2.5645509037204333,3.6900000000000004,1.8519999999999999,6.3180000000000005
LSG1,1.9137315586303814,2.8209999999999997,1.3864,4.680999999999999
YGL101W,1.4914561206230696,1.6880000000000002,1.0828000000000002,2.548
RPL28,1.5924743724158055,2.012,1.1548000000000003,3.278
RPS26A,1.3474556392628299,2.145,1.1099999999999999,3.234
RPS23A,1.5074675045412242,2.02,1.169,3.057
UTP8,2.4414193655465937,3.486,1.6398,6.256
RPS0A,1.5985186060085836,2.423,1.155,4.237
SPO11,1.0346595647472223,2.384,0.7878000000000001,5.542
RRP3,2.163025379858378,3.401,1.3798,6.209
RRP4,1.4599149514285128,2.174,0.8928,4.130000000000001
SPO16,0.9406238866539988,1.271,0.6454,2.838
YAP1801,0.9876746410341359,1.407,0.6662000000000001,2.7439999999999998
RRT14,2.205540107429878,2.854,1.4940000000000002,5.144
FKH1,1.186652297114026,1.3929999999999998,0.7856,2.8919999999999995
RPL16A,1.6231100256173754,2.404,1.1688,4.134
NOP9,1.4642767123263094,2.341,1.0004,8.114
SET4,1.0661663417776959,1.286,0.659,2.677
UTP10,2.091391464284889,3.307,1.3923999999999999,6.377000000000001
YJL195C,1.1836054110761385,1.931,0.7762,3.659
TOR1,1.5454227985109843,2.815,1.1238,4.965
LIA1,3.06923311620693,4.923,2.0212000000000003,9.29
NPA3,1.0775930947333638,1.564,0.6738000000000001,3.1630000000000003
RPL14A,1.6127240579226445,2.137,1.2262,3.338
CWP1,1.7464790680958444,3.0549999999999997,1.5501999999999998,4.137
