sample,sample_role,model_family,data_kind,k_index,k_reduced,conduction_energy_ev,valence_energy_ev,reference_conduction_energy_ev,reference_valence_energy_ev,conduction_error_ev,valence_error_ev,band_gap_ev,gap_relative_error,conduction_edge_k,valence_edge_k,direct_gap_score,curvature_score,band_shape_score,gap_score,band_order_score,symmetry_score,semiconductor_reference_score,status
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,73,0.825,1.48926727889,-1.26695045917,1.48926727889,-1.26695045917,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,74,0.85,1.50768313161,-1.28076234871,1.50768313161,-1.28076234871,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,75,0.875,1.52346217561,-1.2925966317,1.52346217561,-1.2925966317,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,76,0.9,1.53650712782,-1.30238034587,1.53650712782,-1.30238034587,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,77,0.925,1.54673756179,-1.31005317134,1.54673756179,-1.31005317134,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,78,0.95,1.55409040349,-1.31556780261,1.55409040349,-1.31556780261,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,79,0.975,1.55852032019,-1.31889024014,1.55852032019,-1.31889024014,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,80,1,1.56,-1.32,1.56,-1.32,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
scaled_gap_control,negative_control,gap_scale_control,aggregate,,,,,,,,,0.864,0.28,0,0,1,1,0,0,1,1,0,CONTROL_REJECTED
scaled_gap_control,negative_control,gap_scale_control,band_point,0,-1,1.392,-1.152,1.56,-1.32,-0.168,0.168,,,,,,,,,,,,BAND_POINT_RECORDED
scaled_gap_control,negative_control,gap_scale_control,band_point,1,-0.975,1.39052032019,-1.15089024014,1.55852032019,-1.31889024014,-0.168,0.168,,,,,,,,,,,,BAND_POINT_RECORDED
scaled_gap_control,negative_control,gap_scale_control,band_point,2,-0.95,1.38609040349,-1.14756780261,1.55409040349,-1.31556780261,-0.168,0.168,,,,,,,,,,,,BAND_POINT_RECORDED
scaled_gap_control,negative_control,gap_scale_control,band_point,3,-0.925,1.37873756179,-1.14205317134,1.54673756179,-1.31005317134,-0.168,0.168,,,,,,,,,,,,BAND_POINT_RECORDED
scaled_gap_control,negative_control,gap_scale_control,band_point,4,-0.9,1.36850712782,-1.13438034587,1.53650712782,-1.30238034587,-0.168,0.168,,,,,,,,,,,,BAND_POINT_RECORDED
scaled_gap_control,negative_control,gap_scale_control,band_point,5,-0.875,1.35546217561,-1.1245966317,1.52346217561,-1.2925966317,-0.168,0.168,,,,,,,,,,,,BAND_POINT_RECORDED
scaled_gap_control,negative_control,gap_scale_control,band_point,6,-0.85,1.33968313161,-1.11276234871,1.50768313161,-1.28076234871,-0.168,0.168,,,,,,,,,,,,BAND_POINT_RECORDED
scaled_gap_control,negative_control,gap_scale_control,band_point,7,-0.825,1.32126727889,-1.09895045917,1.48926727889,-1.26695045917,-0.168,0.168,,,,,,,,,,,,BAND_POINT_RECORDED
scaled_gap_control,negative_control,gap_scale_control,band_point,8,-0.8,1.3003281573,-1.08324611797,1.4683281573,-1.25124611797,-0.168,0.168,,,,,,,,,,,,BAND_POINT_RECORDED
scaled_gap_control,negative_control,gap_scale_control,band_point,9,-0.775,1.27699486349,-1.06574614762,1.44499486349,-1.23374614762,-0.168,0.168,,,,,,,,,,,,BAND_POINT_RECORDED
scaled_gap_control,negative_control,gap_scale_control,band_point,10,-0.75,1.25141125497,-1.04655844123,1.41941125497,-1.21455844123,-0.168,0.168,,,,,,,,,,,,BAND_POINT_RECORDED
scaled_gap_control,negative_control,gap_scale_control,band_point,11,-0.725,1.2237350632,-1.0258012974,1.3917350632,-1.1938012974,-0.168,0.168,,,,,,,,,,,,BAND_POINT_RECORDED
