source_file,sheet_name,trace_id,distance_um,thickness_nm,time_ps,stft_intensity,normalized_intensity
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,20,1,1
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,25,0.88324,0.88324
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,30,0.70313,0.70313
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,35,0.59933,0.59933
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,40,0.47606,0.47606
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,45,0.41772,0.41772
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,50,0.33809,0.33809
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,55,0.27374,0.27374
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,60,0.24154,0.24154
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,65,0.20155,0.20155
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,70,0.18657,0.18657
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,75,0.1616,0.1616
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,80,0.1326,0.1326
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,85,0.11803,0.11803
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,90,0.10457,0.10457
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,95,0.09046,0.09046
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,100,0.08508,0.08508
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,105,0.07713,0.07713
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,110,0.06653,0.06653
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,115,0.05768,0.05768
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,120,0.05228,0.05228
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,125,0.04672,0.04672
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,130,0.0484,0.0484
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_224,2,224,135,0.03749,0.03749
