partition,condition,admissible,seed,perturbation_family,magnitude,eta,inequality_margin,post_state_error,final_state_error,state_recovery_gain,post_trajectory_error,final_trajectory_error,trajectory_recovery_gain,operator_recovery,identity_sign_agreement,identity_margin_score,node_rank_identity,functional_recovery,final_functional_error,overshoot,corrective_cost,variance_ratio,mean_shift
calibration,target,True,6104,relational_twist,0.7,0.7,0.05,0.4631411088881335,0.000713058011396967,0.9984603871310218,0.6999999999999998,0.3018452935596552,0.568792437771921,0.8808510638297873,1.0,0.9462238400679556,0.9749999999999999,0.0,0.059727305110585306,0.0,0.03957111858487221,1.2747143075809229,1.1102230246251565e-16
calibration,target,True,6105,localized_block_shock,0.2,0.7,0.05,0.05693032679391194,8.782345637133668e-05,0.9984573519718364,0.20000000000000004,0.15781648639445583,0.210917568027721,0.974025974025974,1.0,0.9901073157201077,0.9945970695970694,-0.053893468578363087,0.05519021169695959,0.0,0.0005718486339495399,1.101490860920282,4.163336342344337e-17
calibration,target,True,6105,localized_block_shock,0.45,0.7,0.05,0.2228339034712943,0.0006462565026472525,0.9970998286500398,0.45000000000000007,0.28476551278996376,0.3671877493556362,0.961038961038961,1.0,0.9842314682098843,0.9884615384615383,-0.11426757679992545,0.13129172624117563,0.0,0.00902528007434052,1.2958575229352998,4.163336342344337e-17
calibration,target,True,6105,localized_block_shock,0.7,0.7,0.05,0.41704949523002227,0.0017543351166956736,0.9957934606401381,0.6999999999999998,0.3959710173450517,0.43432711807849744,0.9567099567099567,1.0,0.9793768042285693,0.9769688644688644,-0.14927291172291401,0.21064762250965965,0.0,0.0273577473964211,1.5296764947540098,4.163336342344337e-17
calibration,target,True,6105,sparse_node_corruption,0.2,0.7,0.05,0.060022918589135485,3.4723884390719606e-05,0.9994214895708686,0.20000000000000004,0.16304199503673725,0.18479002481631393,0.9523809523809523,1.0,0.9800259645594996,0.9880036630036629,-0.2666842207123894,0.033088197631616294,0.0,0.0006231693795565033,1.0583749686142898,2.7755575615628914e-17
calibration,target,True,6105,sparse_node_corruption,0.45,0.7,0.05,0.2596238316539731,0.0001648460993652042,0.9993650579058363,0.45000000000000007,0.22941714265478405,0.4901841274338133,0.9177489177489178,1.0,0.9677219454033115,0.980128205128205,-0.5557311055269837,0.09143696529814961,0.0,0.011541182890384959,1.190951795306679,2.7755575615628914e-17
calibration,target,True,6105,sparse_node_corruption,0.7,0.7,0.05,0.49879726718711975,0.0006756078383391111,0.9986455261831143,0.7,0.296259562521034,0.57677205354138,0.9177489177489178,1.0,0.96514858140322,0.9785714285714285,-0.7612165151637253,0.16102212146102535,0.0,0.04325268826121909,1.3498829674854163,2.7755575615628914e-17
calibration,target,True,6105,relational_twist,0.2,0.7,0.05,0.07048282266072758,8.257718756715078e-05,0.9988284069160419,0.20000000000000004,0.14813974276151323,0.259301286192434,0.922077922077922,1.0,0.9655508339733553,0.9902472527472528,0.0,0.014134598711652489,0.0,0.0008790669110279249,1.0353805893287589,1.3877787807814457e-17
calibration,target,True,6105,relational_twist,0.45,0.7,0.05,0.2553088368352875,0.00018075639613664867,0.9992920088533667,0.45000000000000007,0.24791125076920587,0.4490861094017648,0.8961038961038961,1.0,0.9563290631503831,0.9808608058608058,0.0,0.052812293525045274,0.0,0.011327357972777759,1.1382309572968736,5.551115123125783e-17
calibration,target,True,6105,relational_twist,0.7,0.7,0.05,0.4833355162713484,0.00034694118024936374,0.9992821939034694,0.7000000000000001,0.30701915279986575,0.5614012102859062,0.8787878787878788,1.0,0.9508312341146739,0.974496336996337,0.0,0.1062359144463935,0.0,0.03703387219935949,1.28345329074361,0.0
calibration,target,True,6106,localized_block_shock,0.2,0.7,0.05,0.1068125917896891,8.837894096934046e-07,0.9999917257937956,0.2,0.1348800888184971,0.3255995559075145,0.9834710743801653,1.0,0.9914944571784462,0.9925824175824175,0.10193957550882615,0.02832594854669906,0.0,0.0018724773047318478,1.0465889241266892,0.0
calibration,target,True,6106,localized_block_shock,0.45,0.7,0.05,0.3088860400514543,0.0007089917137820471,0.9977046819154924,0.45,0.26213812627982563,0.41747083048927636,0.9669421487603306,1.0,0.9853141577489106,0.9908424908424909,-0.003876710466909456,0.07124293462108573,0.0,0.019428898730712886,1.159027879209072,1.3877787807814457e-17
calibration,target,True,6106,localized_block_shock,0.7,0.7,0.05,0.5335991150254679,0.0014269438796111126,0.9973258128819368,0.7,0.3915461941840489,0.44064829402278727,0.9628099173553719,1.0,0.9825250707837159,0.9874999999999998,-0.05680151673650221,0.11666494369172663,0.0,0.05416207223726157,1.308229545008446,0.0
calibration,target,True,6106,sparse_node_corruption,0.2,0.7,0.05,0.08332515847855729,3.738348757713451e-05,0.9995513541376971,0.20000000000000004,0.14163029566939764,0.29184852165301195,0.9504132231404958,1.0,0.9759574421316051,0.9936813186813186,-0.04425376632556264,0.04376648007937306,0.0,0.00120074122707101,1.0124529012578634,1.3877787807814457e-17
calibration,target,True,6106,sparse_node_corruption,0.45,0.7,0.05,0.28760634703213356,0.0004683113870947624,0.9983716931426329,0.45000000000000007,0.21462369114227173,0.5230584641282852,0.9214876033057852,1.0,0.9630141432109574,0.9878205128205128,0.05700700484738324,0.08892554884983171,0.0,0.015231883184924022,1.07711422788485,0.0
