event_id,seed,signal_to_noise,sample,sample_role,control_type,specificity_score,base_strain_proxy_score,ridge_coherence_score,phase_continuity_score,ridge_monotonicity,ridge_slope_hz,ridge_concentration,ridge_smoothness,phase_valid_fraction,phase_frequency_correlation,phase_smoothness,phase_range_hz
surrogate_04,6604,10.779551811855317,chirp_reversal_control,negative_control,event_window_chirp_reversal,0.5756217846421959,0.6623110134175147,0.4293095520105469,0.6036222232987021,0.3333333333333333,-91.98395395222485,0.7619339214856727,0.5426872762658108,1.0,0.0,0.965037968543333,130.90017878603797
surrogate_04,6604,10.779551811855317,envelope_locked_phase_control,negative_control,event_envelope_preserved_phase_scramble,0.595192475107457,0.8679981632347291,0.2739636111618623,0.5500297271170892,0.5238095238095238,-15.08233537909257,0.3786819072387251,0.3915495943067252,1.0,0.04307519594817088,0.9290850693190151,78.82803994763076
surrogate_04,6604,10.779551811855317,multi_event_timing_randomization_control,negative_control,multi_event_timing_randomization,0.3692836170322239,0.3394929631552637,0.26772649856593106,0.6427335555172402,0.5714285714285714,-45.9681592992533,0.3800281028353321,0.22633565354689456,1.0,0.2463764682414863,0.9149353316441243,98.55722133408824
surrogate_04,6604,10.779551811855317,micro_chunk_scramble_control,negative_control,event_window_micro_chunk_scramble,0.5875625598630645,0.7573043943646818,0.3286703607836058,0.611015483445888,0.42857142857142855,31.10311276963651,0.388871211422474,0.21701953985973377,1.0,0.23172884458136833,0.9339669485419368,71.85199955951236
surrogate_05,6605,12.014560068248612,strain_proxy_target,target,none,0.8343676284296841,0.9514131821652099,0.7214787688845541,0.7992180268999866,0.6666666666666666,45.804211825235996,0.7927146671544336,0.702910546236994,1.0,0.637565318813118,0.9708885465363362,100.4755302698569
surrogate_05,6605,12.014560068248612,time_shuffle_control,negative_control,global_time_shuffle,0.41187059108164353,0.4502180076569353,0.26089285811064217,0.6423067421068984,0.47619047619047616,-0.13212264312679167,0.3897668976342811,0.37252280780244473,1.0,0.1347522826330775,0.9159238398179433,132.58889341342248
surrogate_05,6605,12.014560068248612,phase_scramble_control,negative_control,fft_phase_scramble,0.34802929774814684,0.23340342285316906,0.33914741915100705,0.6182515119732122,0.42857142857142855,14.76111771996662,0.4804191066194114,0.34926863593232294,1.0,0.13223455763626674,0.9382071494235658,108.04994489548642
surrogate_05,6605,12.014560068248612,amplitude_preserving_surrogate_control,negative_control,iaaft_amplitude_spectrum_surrogate,0.36124618692722693,0.3480736139491366,0.28102121335103075,0.5873881265896712,0.47619047619047616,1.0346047169780945,0.43860249364611226,0.3090665024335315,1.0,0.10575394877113257,0.9421491521835301,88.86744899301397
surrogate_05,6605,12.014560068248612,sliding_window_scramble_control,negative_control,event_window_sliding_scramble,0.49968416357798434,0.6303572616182939,0.3560393365159873,0.5491787662363611,0.3333333333333333,-12.142287247114268,0.6153266160735696,0.5584840622106226,1.0,0.0,0.9551522711656024,86.06135710708645
surrogate_05,6605,12.014560068248612,partial_overlap_scramble_control,negative_control,partial_event_overlap_scramble,0.6269775590009921,0.7140616686221473,0.5056285208484014,0.5777440543667032,0.5238095238095238,-56.05357959121943,0.7592373531306736,0.6280798961971029,1.0,0.0,0.9651543659935586,108.59214451043673
