left_observation_id,right_observation_id,left_kind,right_kind,left_control_group,right_control_group,left_signature_id,right_signature_id,scalar_distance,scalar_enabled,disabled_components,warnings
obs_cd8cd88cb9618af0705bbf06,obs_ddbc298f7c4df1aede53d5d6,derived_control,derived_control,randomized_edge_control,randomized_edge_control,bsig_3b1c1a5f56bb03b20611587b,bsig_3b1c1a5f56bb03b20611587b,0.12830277170135795,True,,
obs_cd8cd88cb9618af0705bbf06,obs_3f2760e857afefe81bf772fe,derived_control,derived_control,randomized_edge_control,randomized_edge_control,bsig_3b1c1a5f56bb03b20611587b,bsig_3b1c1a5f56bb03b20611587b,0.17889846670885232,True,,
obs_cd8cd88cb9618af0705bbf06,obs_1aa1fc186c905e7ffa16d2d4,derived_control,derived_control,randomized_edge_control,degraded_signal_control,bsig_3b1c1a5f56bb03b20611587b,bsig_8527b27b7d47cca4b9594df9,0.30003248314882935,True,,
obs_cd8cd88cb9618af0705bbf06,obs_e9c8066d01dd67e1f9d375ef,derived_control,derived_control,randomized_edge_control,degraded_signal_control,bsig_3b1c1a5f56bb03b20611587b,bsig_1095c101d561009a130e1133,0.3548099253889524,True,,
obs_cd8cd88cb9618af0705bbf06,obs_aabd161899dc613ecf88b1d9,derived_control,derived_control,randomized_edge_control,degraded_signal_control,bsig_3b1c1a5f56bb03b20611587b,bsig_5fc2cc8106fba2b64bc8c905,0.30737829291525326,True,,
obs_cd8cd88cb9618af0705bbf06,obs_322c862d474a379bd8df7674,derived_control,derived_control,randomized_edge_control,degraded_signal_control,bsig_3b1c1a5f56bb03b20611587b,bsig_1095c101d561009a130e1133,0.39300310721681697,True,,
obs_cd8cd88cb9618af0705bbf06,obs_4ef6a9c1a3b2d0659064e20b,derived_control,derived_control,randomized_edge_control,degraded_signal_control,bsig_3b1c1a5f56bb03b20611587b,bsig_8527b27b7d47cca4b9594df9,0.3257211963279297,True,,
obs_cd8cd88cb9618af0705bbf06,obs_7d8b6ee929f2a0a0cf7af8f5,derived_control,derived_control,randomized_edge_control,degraded_signal_control,bsig_3b1c1a5f56bb03b20611587b,bsig_1095c101d561009a130e1133,0.3592162711257136,True,,
obs_cd8cd88cb9618af0705bbf06,obs_b41d2dded4b9ccd5ecd128d5,derived_control,derived_control,randomized_edge_control,label_permutation_control,bsig_3b1c1a5f56bb03b20611587b,bsig_8e7a52f1a727043c61e5d5c2,0.21688034188034186,True,,
obs_cd8cd88cb9618af0705bbf06,obs_a3582497f15ead2a2fc1280f,derived_control,derived_control,randomized_edge_control,label_permutation_control,bsig_3b1c1a5f56bb03b20611587b,bsig_8e7a52f1a727043c61e5d5c2,0.37706147409892743,True,,
obs_cd8cd88cb9618af0705bbf06,obs_f855844ba74f991c9ab0ba6d,derived_control,derived_control,randomized_edge_control,label_permutation_control,bsig_3b1c1a5f56bb03b20611587b,bsig_8e7a52f1a727043c61e5d5c2,0.32058088063723833,True,,
obs_cd8cd88cb9618af0705bbf06,obs_20877377330b5094380e86df,derived_control,derived_control,randomized_edge_control,label_permutation_control,bsig_3b1c1a5f56bb03b20611587b,bsig_8e7a52f1a727043c61e5d5c2,0.4249693213108828,True,,
obs_cd8cd88cb9618af0705bbf06,obs_8d92e32fec459dd0746ec799,derived_control,derived_control,randomized_edge_control,label_permutation_control,bsig_3b1c1a5f56bb03b20611587b,bsig_8e7a52f1a727043c61e5d5c2,0.3451831135816998,True,,
