sample,sample_role,model_family,data_kind,series,n_lower,n_upper,l_lower,l_upper,wavenumber_m_inv,wavelength_nm,reference_wavenumber_m_inv,reference_wavelength_nm,relative_wavenumber_error,relative_wavelength_error,fitted_rydberg_m_inv,rydberg_relative_error,transition_rms_relative_error,series_law_rms_relative_error,absolute_line_score,rydberg_scale_score,inverse_square_law_score,line_order_score,selection_rule_score,hydrogen_reference_score,status
hydrogen_rydberg_reference,reference,gross_rydberg_series,line,balmer,2,7,0,1,2518107.78221,397.123589016,2518107.78221,397.123589016,0,0,,,,,,,,,,,LINE_RECORDED
hydrogen_rydberg_reference,reference,gross_rydberg_series,line,paschen,3,4,0,1,533154.919319,1875.62744667,533154.919319,1875.62744667,0,0,,,,,,,,,,,LINE_RECORDED
hydrogen_rydberg_reference,reference,gross_rydberg_series,line,paschen,3,5,0,1,779929.481975,1282.16719987,779929.481975,1282.16719987,0,0,,,,,,,,,,,LINE_RECORDED
hydrogen_rydberg_reference,reference,gross_rydberg_series,line,paschen,3,6,0,1,913979.86169,1094.11601056,913979.86169,1094.11601056,0,0,,,,,,,,,,,LINE_RECORDED
hydrogen_rydberg_reference,reference,gross_rydberg_series,line,paschen,3,7,0,1,994808.012724,1005.2190847,994808.012724,1005.2190847,0,0,,,,,,,,,,,LINE_RECORDED
hydrogen_rydberg_reference,reference,gross_rydberg_series,line,paschen,3,8,0,1,1047268.59152,954.864881939,1047268.59152,954.864881939,0,0,,,,,,,,,,,LINE_RECORDED
arithmetic_spacing_control,negative_control,line_count_range_control,aggregate,all,,,,,,,,,,,10452892.0398,0.0469436218868,0.0830903657042,0.057899196418,0,0,0,1,1,0,CONTROL_REJECTED
arithmetic_spacing_control,negative_control,line_count_range_control,line,lyman,1,2,0,1,8225818.75521,121.568445617,8225818.75521,121.568445617,0,0,,,,,,,,,,,LINE_RECORDED
arithmetic_spacing_control,negative_control,line_count_range_control,line,lyman,1,3,0,1,8835138.663,113.184414885,9749118.52469,102.57337599,0.09375,0.103448275862,,,,,,,,,,,LINE_RECORDED
arithmetic_spacing_control,negative_control,line_count_range_control,line,lyman,1,4,0,1,9444458.5708,105.88219457,10282273.444,97.2547564938,0.0814814814815,0.0887096774194,,,,,,,,,,,LINE_RECORDED
arithmetic_spacing_control,negative_control,line_count_range_control,line,lyman,1,5,0,1,10053778.4786,99.4650918686,10529048.0067,94.9753481385,0.0451388888889,0.0472727272727,,,,,,,,,,,LINE_RECORDED
arithmetic_spacing_control,negative_control,line_count_range_control,line,lyman,1,6,0,1,10663098.3864,93.7813723333,10663098.3864,93.7813723333,0,0,,,,,,,,,,,LINE_RECORDED
arithmetic_spacing_control,negative_control,line_count_range_control,line,balmer,2,3,0,1,1523299.76948,656.469606333,1523299.76948,656.469606333,0,0,,,,,,,,,,,LINE_RECORDED
arithmetic_spacing_control,negative_control,line_count_range_control,line,balmer,2,4,0,1,1772001.77266,564.333521234,2056454.6888,486.273782469,0.138321995465,0.160526315789,,,,,,,,,,,LINE_RECORDED
arithmetic_spacing_control,negative_control,line_count_range_control,line,balmer,2,5,0,1,2020703.77585,494.877087851,2303229.25146,434.173020062,0.122664938991,0.139815384615,,,,,,,,,,,LINE_RECORDED
arithmetic_spacing_control,negative_control,line_count_range_control,line,balmer,2,6,0,1,2269405.77903,440.643982333,2437279.63117,410.293503958,0.0688775510204,0.0739726027397,,,,,,,,,,,LINE_RECORDED
arithmetic_spacing_control,negative_control,line_count_range_control,line,balmer,2,7,0,1,2518107.78221,397.123589016,2518107.78221,397.123589016,0,0,,,,,,,,,,,LINE_RECORDED
arithmetic_spacing_control,negative_control,line_count_range_control,line,paschen,3,4,0,1,533154.919319,1875.62744667,533154.919319,1875.62744667,0,0,,,,,,,,,,,LINE_RECORDED
arithmetic_spacing_control,negative_control,line_count_range_control,line,paschen,3,5,0,1,661683.337369,1511.29693544,779929.481975,1282.16719987,0.151611328125,0.178705035971,,,,,,,,,,,LINE_RECORDED
arithmetic_spacing_control,negative_control,line_count_range_control,line,paschen,3,6,0,1,790211.755419,1265.48357847,913979.86169,1094.11601056,0.135416666667,0.156626506024,,,,,,,,,,,LINE_RECORDED
arithmetic_spacing_control,negative_control,line_count_range_control,line,paschen,3,7,0,1,918740.17347,1088.44701568,994808.012724,1005.2190847,0.07646484375,0.0827958126256,,,,,,,,,,,LINE_RECORDED
arithmetic_spacing_control,negative_control,line_count_range_control,line,paschen,3,8,0,1,1047268.59152,954.864881939,1047268.59152,954.864881939,0,0,,,,,,,,,,,LINE_RECORDED
wrong_exponent_control,negative_control,wrong_transition_law_control,aggregate,all,,,,,,,,,,,10459533.6891,0.0463380606488,0.824703695343,0.257510673952,0,0,0,1,1,0,CONTROL_REJECTED
wrong_exponent_control,negative_control,wrong_transition_law_control,line,lyman,1,2,0,1,6286739.06192,159.064976318,8225818.75521,121.568445617,0.235730904241,0.308439665491,,,,,,,,,,,LINE_RECORDED
wrong_exponent_control,negative_control,wrong_transition_law_control,line,lyman,1,3,0,1,8382318.74923,119.298732238,9749118.52469,102.57337599,0.140197267271,0.163057480436,,,,,,,,,,,LINE_RECORDED
wrong_exponent_control,negative_control,wrong_transition_law_control,line,lyman,1,4,0,1,9430108.59288,106.043317545,10282273.444,97.2547564938,0.0828770850891,0.090366387909,,,,,,,,,,,LINE_RECORDED
wrong_exponent_control,negative_control,wrong_transition_law_control,line,lyman,1,5,0,1,10058782.4991,99.4156101985,10529048.0067,94.9753481385,0.0446636303011,0.0467517323927,,,,,,,,,,,LINE_RECORDED
